ensembl_gene_id	external_gene_name	B4_WT_2	C4_WT_3	D4_WT_4	E4_GFP_1	F4_GFP_2	G4_GFP_3	H4_GFP_4	A4_WT_1
ENSG00000008323	PLEKHG6	0	4	0	0	0	0	0	0
ENSG00000008324	SS18L2	189	194	103	229	216	197	214	175
ENSG00000008382	MPND	60	54	53	24	28	31	66	40
ENSG00000008394	MGST1	478	523	140	945	1069	854	685	378
ENSG00000008405	CRY1	5	47	26	42	69	63	77	32
ENSG00000008438	PGLYRP1	0	0	0	0	0	0	0	0
ENSG00000008441	NFIX	922	877	926	852	971	1270	1315	790
ENSG00000008513	ST3GAL1	194	112	53	294	323	244	295	100
ENSG00000008516	MMP25	0	0	0	0	0	0	0	0
ENSG00000008517	IL32	166	172	233	158	118	222	227	190
ENSG00000008710	PKD1	344	371	299	547	398	537	729	259
ENSG00000008735	MAPK8IP2	0	0	0	8	5	6	6	0
ENSG00000008838	MED24	635	596	503	515	441	718	569	522
ENSG00000008853	RHOBTB2	27	41	49	66	92	122	76	100
ENSG00000008869	HEATR5B	45	61	25	65	69	45	48	45
ENSG00000008952	SEC62	1597	1688	673	1940	2029	1625	1770	1068
ENSG00000008988	RPS20	7125	7557	5359	5535	6089	5593	4935	6332
ENSG00000009307	CSDE1	3990	3946	3045	2753	3154	3035	3028	3551
ENSG00000009335	UBE3C	440	554	475	377	435	525	530	367
ENSG00000009413	REV3L	1197	1206	834	1087	1351	1308	1120	946
ENSG00000009694	TENM1	0	0	4	0	0	0	1	0
ENSG00000009709	PAX7	0	0	0	0	0	0	0	0
ENSG00000009724	MASP2	0	0	0	3	0	5	3	0
ENSG00000009765	IYD	0	0	0	4	4	0	0	0
ENSG00000009780	FAM76A	149	151	139	160	180	208	169	127
ENSG00000009790	TRAF3IP3	0	0	0	0	0	0	0	0
ENSG00000009830	POMT2	123	176	95	155	133	172	235	224
ENSG00000009844	VTA1	193	302	147	229	339	319	340	192
ENSG00000009950	MLXIPL	33	36	16	8	22	9	20	51
ENSG00000009954	BAZ1B	477	701	694	1125	1121	1294	1163	645
ENSG00000010017	RANBP9	131	128	35	150	196	101	108	66
ENSG00000010030	ETV7	77	39	38	116	112	100	137	28
ENSG00000010072	SPRTN	111	85	57	85	98	80	63	75
ENSG00000010165	METTL13	156	162	76	165	172	187	184	169
ENSG00000010219	DYRK4	194	201	74	175	191	131	135	159
ENSG00000010244	ZNF207	850	721	657	1043	1170	1006	1101	704
ENSG00000010256	UQCRC1	633	685	442	485	546	527	495	508
ENSG00000010270	STARD3NL	85	86	7	115	106	71	85	54
ENSG00000010278	CD9	2228	2614	60	313	343	170	100	2169
ENSG00000010282	HHATL	0	0	0	0	0	0	0	0
ENSG00000010292	NCAPD2	325	422	104	174	204	154	138	330
ENSG00000010295	IFFO1	425	213	341	139	272	235	276	241
ENSG00000010310	GIPR	29	13	30	13	15	14	24	56
ENSG00000010318	PHF7	73	20	32	29	41	22	46	5
ENSG00000010319	SEMA3G	0	4	0	0	0	0	2	0
ENSG00000010322	NISCH	796	678	892	246	338	299	333	810
ENSG00000010327	STAB1	0	0	0	4	3	0	4	0
ENSG00000010361	FUZ	44	47	57	53	54	58	82	39
ENSG00000010379	SLC6A13	0	0	0	3	0	6	3	0
ENSG00000010404	IDS	356	380	248	526	590	515	461	371
ENSG00000010438	PRSS3	1	10	1	2	7	3	4	0
ENSG00000010539	ZNF200	32	35	28	46	86	56	48	63
ENSG00000010610	CD4	2	16	9	19	26	26	25	5
ENSG00000010626	LRRC23	102	65	108	95	102	117	129	66
ENSG00000010671	BTK	2	0	0	0	0	0	1	6
ENSG00000010704	HFE	74	61	35	58	68	77	55	100
ENSG00000010803	SCMH1	208	241	100	84	88	77	72	138
ENSG00000010810	FYN	154	189	75	415	533	465	391	227
ENSG00000010818	HIVEP2	251	362	147	437	384	272	333	231
ENSG00000010932	FMO1	31	25	57	2	2	5	0	17
ENSG00000011007	TCEB3	161	246	76	206	232	197	226	129
ENSG00000011009	LYPLA2	354	391	360	356	227	435	434	295
ENSG00000011021	CLCN6	73	115	20	114	145	95	94	83
ENSG00000011028	MRC2	1108	1364	876	682	952	755	737	1080
ENSG00000011052	NME1-NME2	0	0	0	0	0	0	0	0
ENSG00000011083	SLC6A7	1	0	6	0	5	0	0	0
ENSG00000011105	TSPAN9	754	797	657	437	410	364	475	658
ENSG00000011114	BTBD7	709	948	722	503	647	612	543	543
ENSG00000011132	APBA3	148	110	127	128	139	171	179	114
ENSG00000011143	MKS1	46	57	41	63	32	66	53	79
ENSG00000011198	ABHD5	39	84	16	91	109	87	71	51
ENSG00000011201	ANOS1	0	0	0	0	0	0	0	0
ENSG00000011243	AKAP8L	67	92	114	163	200	228	291	105
ENSG00000011258	MBTD1	22	33	23	62	45	35	34	58
ENSG00000011260	UTP18	93	43	62	178	205	200	190	76
ENSG00000011275	RNF216	344	276	238	484	585	664	648	298
ENSG00000011295	TTC19	332	292	274	311	296	299	401	347
ENSG00000011304	PTBP1	853	1196	932	1269	1246	1336	1542	891
ENSG00000011332	DPF1	48	44	30	71	25	67	78	27
ENSG00000011347	SYT7	10	6	1	10	30	24	14	0
ENSG00000011376	LARS2	81	58	56	95	155	169	168	96
ENSG00000011405	PIK3C2A	580	557	646	679	684	800	839	470
ENSG00000011422	PLAUR	69	101	31	342	337	313	364	75
ENSG00000011426	ANLN	457	418	387	173	230	129	106	343
ENSG00000011451	WIZ	260	213	126	161	214	211	279	191
ENSG00000011465	DCN	1801	2028	1080	2907	4346	3248	2419	1799
ENSG00000011478	QPCTL	39	25	0	30	20	14	2	40
ENSG00000011485	PPP5C	159	162	106	116	153	168	202	158
ENSG00000011523	CEP68	230	274	256	61	136	104	80	277
ENSG00000011566	MAP4K3	128	108	75	279	263	280	166	113
ENSG00000011590	ZBTB32	0	0	0	0	0	0	0	0
ENSG00000011600	TYROBP	0	0	0	0	0	0	0	0
ENSG00000011638	TMEM159	55	61	26	80	90	99	78	35
ENSG00000011677	GABRA3	0	0	0	0	0	0	0	0
ENSG00000012048	BRCA1	105	157	56	213	99	153	178	138
ENSG00000012061	ERCC1	306	270	175	281	260	264	281	237
ENSG00000012124	CD22	0	0	0	0	0	3	3	0
ENSG00000012171	SEMA3B	1214	1265	1136	42	46	59	63	708
ENSG00000012174	MBTPS2	96	113	52	112	119	110	93	81
ENSG00000012211	PRICKLE3	10	11	6	15	18	16	14	21
ENSG00000012223	LTF	0	0	0	3	0	0	0	0
ENSG00000012232	EXTL3	431	504	248	241	231	213	261	546
ENSG00000012504	NR1H4	0	0	0	0	0	0	0	0
ENSG00000012660	ELOVL5	195	201	96	274	251	196	195	193
ENSG00000012779	ALOX5	0	0	0	0	0	0	0	0
ENSG00000012817	KDM5D	79	103	118	53	63	68	69	95
ENSG00000012822	CALCOCO1	143	122	93	76	108	135	111	91
ENSG00000012963	UBR7	150	94	30	91	89	86	76	92
ENSG00000012983	MAP4K5	293	382	296	406	379	530	457	363
ENSG00000013016	EHD3	498	619	545	912	1080	1019	864	444
ENSG00000013275	PSMC4	515	612	487	848	958	895	1007	575
ENSG00000013288	MAN2B2	571	715	460	212	260	236	309	363
ENSG00000013293	SLC7A14	0	0	4	0	0	0	0	0
ENSG00000013297	CLDN11	89	57	67	12	0	5	8	51
ENSG00000013306	SLC25A39	539	466	493	358	335	426	415	498
ENSG00000013364	MVP	802	822	532	648	724	719	779	422
ENSG00000013374	NUB1	376	401	312	662	601	630	523	267
ENSG00000013375	PGM3	283	295	277	323	451	514	386	271
ENSG00000013392	RWDD2A	44	24	24	20	23	30	33	22
ENSG00000013441	CLK1	214	160	167	222	240	224	190	189
ENSG00000013503	POLR3B	47	86	79	105	75	92	58	86
ENSG00000013523	ANGEL1	33	51	7	55	32	24	21	40
ENSG00000013561	RNF14	200	158	46	92	156	114	72	139
ENSG00000013563	DNASE1L1	251	161	100	101	164	155	132	92
ENSG00000013573	DDX11	45	49	32	105	96	42	92	44
ENSG00000013583	HEBP1	242	121	93	175	167	155	179	129
ENSG00000013588	GPRC5A	1	0	1	73	56	102	125	0
ENSG00000013619	MAMLD1	7	5	26	30	59	34	33	14
ENSG00000013725	CD6	0	0	0	0	0	0	0	0
ENSG00000013810	TACC3	510	559	416	315	292	229	283	377
ENSG00000014123	UFL1	232	231	120	220	183	212	207	224
ENSG00000014138	POLA2	34	42	83	65	62	49	53	30
ENSG00000014164	ZC3H3	38	24	29	51	32	45	57	27
ENSG00000014216	CAPN1	369	445	251	202	275	255	217	340
ENSG00000014257	ACPP	4	0	6	4	34	29	4	0
ENSG00000014641	MDH1	513	581	292	503	546	715	663	569
ENSG00000014824	SLC30A9	295	337	163	224	280	240	270	231
ENSG00000014914	MTMR11	80	64	62	54	121	62	67	61
ENSG00000014919	COX15	153	193	140	241	241	170	176	142
ENSG00000015133	CCDC88C	1	0	1	1	1	1	1	8
ENSG00000015153	YAF2	178	129	57	347	326	351	360	109
ENSG00000015171	ZMYND11	435	409	257	455	533	492	488	360
ENSG00000015285	WAS	0	0	1	0	0	0	0	0
ENSG00000015413	DPEP1	0	0	0	0	3	1	0	0
ENSG00000015475	BID	55	69	85	167	178	127	169	72
ENSG00000015479	MATR3	0	4	0	9	14	2	2	19
ENSG00000015520	NPC1L1	0	0	0	0	0	5	5	0
ENSG00000015532	XYLT2	172	238	177	121	107	124	140	253
ENSG00000015568	RGPD5	0	0	0	0	0	0	0	0
ENSG00000015592	STMN4	0	0	0	0	0	11	0	0
ENSG00000015676	NUDCD3	443	304	499	466	558	620	658	335
ENSG00000016082	ISL1	41	20	2	7	17	11	8	4
ENSG00000016391	CHDH	0	4	0	0	0	0	7	0
ENSG00000016402	IL20RA	0	0	0	0	0	0	0	0
ENSG00000016490	CLCA1	0	0	0	0	0	0	0	0
ENSG00000016602	CLCA4	0	0	0	0	0	0	0	0
ENSG00000016864	GLT8D1	297	193	131	161	241	190	237	233
ENSG00000017260	ATP2C1	354	475	145	456	553	570	524	286
ENSG00000017427	IGF1	0	0	0	0	0	1	0	0
ENSG00000017483	SLC38A5	0	0	1	0	0	0	5	1
ENSG00000017797	RALBP1	443	515	254	435	437	386	396	323
ENSG00000018189	RUFY3	348	264	268	314	296	342	324	207
ENSG00000018236	CNTN1	1	3	0	0	0	0	0	0
ENSG00000018280	SLC11A1	0	0	0	0	2	0	0	8
ENSG00000018408	WWTR1	321	363	223	438	457	486	412	205
ENSG00000018510	AGPS	86	75	121	102	137	100	78	153
ENSG00000018610	CXorf56	28	24	29	79	64	67	56	33
ENSG00000018625	ATP1A2	0	0	0	0	1	1	5	2
ENSG00000018699	TTC27	49	161	35	71	66	51	68	35
ENSG00000018869	ZNF582	3	20	4	2	0	9	11	17
ENSG00000019102	VSIG2	0	0	0	8	1	0	0	0
ENSG00000019144	PHLDB1	722	789	830	485	505	545	460	694
ENSG00000019169	MARCO	0	0	0	2	0	0	0	0
ENSG00000019186	CYP24A1	16	24	0	0	0	0	0	15
ENSG00000019485	PRDM11	34	35	47	27	48	47	53	37
ENSG00000019505	SYT13	0	0	0	0	0	0	0	0
ENSG00000019549	SNAI2	403	423	123	382	480	291	221	406
ENSG00000019582	CD74	42	66	41	0	0	0	0	45
ENSG00000019991	HGF	16	11	11	61	89	65	51	15
ENSG00000019995	ZRANB1	255	260	282	516	472	634	459	172
ENSG00000020129	NCDN	382	324	372	451	486	485	473	196
ENSG00000020181	ADGRA2	300	303	193	222	299	252	301	302
ENSG00000020256	ZFP64	87	28	59	103	99	99	78	55
ENSG00000020426	MNAT1	146	170	108	237	277	267	167	128
ENSG00000020577	SAMD4A	123	160	47	145	174	181	140	106
ENSG00000020633	RUNX3	0	11	0	4	0	0	1	0
ENSG00000020922	MRE11A	223	276	215	160	263	244	215	302
ENSG00000021300	PLEKHB1	0	0	0	0	0	0	0	0
ENSG00000021355	SERPINB1	220	206	127	236	203	218	136	151
ENSG00000021461	CYP3A43	0	0	0	0	0	0	0	0
ENSG00000021488	SLC7A9	0	0	0	6	0	0	0	0
ENSG00000021574	SPAST	58	110	54	61	86	84	101	71
ENSG00000021645	NRXN3	10	0	0	20	30	14	13	6
ENSG00000021762	OSBPL5	117	89	89	184	239	279	209	110
ENSG00000021776	AQR	204	283	188	329	354	372	373	281
ENSG00000021826	CPS1	75	109	100	70	53	43	33	144
ENSG00000021852	C8B	0	0	11	0	0	0	0	0
ENSG00000022267	FHL1	44	71	14	91	121	84	99	39
ENSG00000022277	RTFDC1	405	458	362	544	650	571	577	424
ENSG00000022355	GABRA1	3	4	3	3	2	0	2	0
ENSG00000022556	NLRP2	0	0	0	0	0	0	0	0
ENSG00000022567	SLC45A4	34	16	24	83	38	39	58	29
ENSG00000022840	RNF10	412	543	360	649	615	602	586	452
ENSG00000022976	ZNF839	126	91	98	211	150	143	176	133
ENSG00000023041	ZDHHC6	105	141	70	213	223	107	134	124
ENSG00000023171	GRAMD1B	31	43	21	93	71	65	71	16
ENSG00000023191	RNH1	574	493	489	636	687	658	659	542
ENSG00000023228	NDUFS1	268	335	242	538	543	584	479	361
ENSG00000023287	RB1CC1	485	398	299	730	787	712	705	397
ENSG00000023318	ERP44	287	378	103	442	612	376	336	380
ENSG00000023330	ALAS1	75	92	33	186	180	137	129	52
ENSG00000023445	BIRC3	4	0	1	354	346	362	400	6
ENSG00000023516	AKAP11	227	268	214	309	309	377	322	185
ENSG00000023572	GLRX2	48	33	12	191	248	226	135	47
ENSG00000023608	SNAPC1	230	152	189	487	569	614	558	206
ENSG00000023697	DERA	52	38	26	114	121	61	35	63
ENSG00000023734	STRAP	442	475	232	351	434	457	453	376
ENSG00000023839	ABCC2	0	3	4	3	26	10	8	2
ENSG00000023892	DEF6	38	9	15	11	9	20	9	2
ENSG00000023902	PLEKHO1	122	149	99	219	304	323	342	85
ENSG00000023909	GCLM	323	364	234	455	431	498	469	285
ENSG00000024048	UBR2	223	321	301	402	376	322	359	342
ENSG00000024422	EHD2	1270	1382	1314	887	1085	1019	1121	944
ENSG00000024526	DEPDC1	143	161	44	51	74	58	71	97
ENSG00000024862	CCDC28A	147	190	105	226	232	233	203	96
ENSG00000025039	RRAGD	0	0	0	6	0	0	4	0
ENSG00000025156	HSF2	97	69	66	109	149	176	192	65
ENSG00000025293	PHF20	411	500	370	331	423	399	359	368
ENSG00000025423	HSD17B6	0	2	0	3	3	2	0	1
ENSG00000025434	NR1H3	38	34	37	36	52	72	79	28
ENSG00000025708	TYMP	0	11	13	3	19	18	17	14
